VEZ,SAITS,USGAN,GPVAE,BRITIS,MNN
1,: 0.2274,: 0.2718,:0.4561,: 0.2541,: 0.6994
2,: 0.2318,::0.2696,:0.4493,: 0.2542,: 0.7026
3,: 0.2287,: 0.2712,:0.4484,: 0.2548,: 0.6950
4,: 0.2313,: 0.2705,: 0.4575,: 0.2539,: 0.7014
5,: 0.2305,: 0.2721,: 0.4575,: 0.2546,: 0.6864
6,: 0.2299,: 0.2715,: 0.4564,: 0.2540,: 0.6972
7,: 0.2298,: 0.2710,: 0.4536,: 0.2535,: 0.7000
8,: 0.2298,: 0.2701,: 0.4467,: 0.2544,: 0.7052
9,: 0.2298,: 0.2705,: 0.4493,: 0.2544,: 0.7033
10,: 0.2298,: 0.2718,: 0.4462,: 0.2530,: 0.7045
